AS0 [ -Reserved AS-, ZZ ]
AS1 [ LVLT-1, US ]
AS2 [ UDEL-DCN, US ]
AS3 [ MIT-GATEWAYS, US ]
AS4 [ ISI-AS, US ]
AS5 [ SYMBOLICS, US ]
AS6 [ BULL-HN, US ]
AS7 [ DSTL, EU ]
AS8 [ RICE-AS, US ]
AS9 [ CMU-ROUTER, US ]
AS10 [ CSNET-EXT-AS, US ]
AS11 [ HARVARD, US ]
AS12 [ NYU-DOMAIN, US ]
AS13 [ DNIC-AS-00013, US ]
AS14 [ COLUMBIA-GW, US ]
AS15 [ NET-DYNAMICS-EXP, US ]
AS16 [ LBL, US ]
AS17 [ PURDUE, US ]
AS18 [ UTEXAS, US ]
AS19 [ LEIDOS-AS, US ]
AS20 [ UR, US ]
AS21 [ RAND, US ]
AS22 [ DNIC-AS-00022, US ]
AS23 [ AS23, US ]
AS24 [ AS24, US ]
AS25 [ UCB, US ]
AS26 [ CORNELL, US ]
AS27 [ UMDNET, US ]
AS28 [ DFVLR-SYS, DE ]
AS29 [ YALE-AS, US ]
AS30 [ SRI-AICNET, US ]
AS31 [ CIT, US ]
AS32 [ STANFORD, US ]
AS33 [ HP-DIGITAL-33, US ]
AS34 [ UDELNET, US ]
AS35 [ MITRE-AS-1, US ]
AS36 [ EGP-TESTOR, US ]
AS37 [ DNIC-AS-00037, US ]
AS38 [ UIUC, US ]
AS39 [ DNIC-AS-00039, US ]
AS40 [ MIT-TEST, US ]
AS41 [ AS41, US ]
AS42 [ WOODYNET-1, US ]
AS43 [ BNL-AS, US ]
AS44 [ S1-DOMAIN, US ]
AS45 [ LLL-TIS-AS, US ]
AS46 [ RUTGERS, US ]
AS47 [ USC-AS, US ]
AS48 [ DNIC-AS-00048, US ]
AS49 [ US-NATIONAL-INSTITUTE-OF-STANDARDS-AND-TECHNOLOGY, US ]
AS50 [ ORNL-MSRNET, US ]
AS51 [ DNIC-AS-00051, US ]
AS52 [ UCLA, US ]
AS53 [ NORTHROP-AS, US ]
AS54 [ DNIC-AS-00054, US ]
AS55 [ UPENN, US ]
AS56 [ DNIC-AS-00056, US ]
AS57 [ NL-GIGAPOP, US ]
AS58 [ SSC-299-Z-58, CA ]
AS59 [ WISC-MADISON-AS, US ]
AS60 [ AINET-AS60, US ]
AS61 [ DEC-MARLBORO-AS, US ]
AS62 [ CONE, US ]
AS63 [ LL-MI, US ]
AS64 [ MITRE-AS-2, US ]
AS65 [ AF-RASN-65, US ]
AS66 [ DNIC-AS-00066, US ]
AS67 [ SDC-PRC-AS, US ]
AS68 [ LANL-INET-AS, US ]
AS69 [ UPENN-ANYCAST, US ]
AS70 [ NLM-GW, US ]
AS71 [ HP-INTERNET-AS, US ]
AS72 [ SCHLUMBERGER-AS, US ]
AS73 [ WASHINGTON-AS, US ]
AS74 [ SSC-299-Z-74, CA ]
AS75 [ ANL-AS, US ]
AS76 [ SDC-CAM-AS, US ]
AS77 [ JHUAPL-AS, US ]
AS78 [ BA-346-78, US ]
AS79 [ DSPO-HC-AS, US ]
AS80 [ GE-CRD, US ]
AS81 [ NCREN, US ]
AS82 [ TWG-DEMO-AS, US ]
AS83 [ DNIC-AS-00083, US ]
AS84 [ DNIC-AS-00084, US ]
AS85 [ AERO-NET, US ]
AS86 [ CSC-300-AS86, US ]
AS87 [ INDIANA-AS, US ]
AS88 [ PRINCETON-AS, US ]
AS89 [ DNIC-AS-00089, US ]
AS90 [ SUN-AS, US ]
AS91 [ RPI-AS, US ]
AS92 [ CLARKSON-AS, US ]
AS93 [ NTTA-93, US ]
AS94 [ DNIC-AS-00094, US ]
AS95 [ DNIC-AS-00095, US ]
AS96 [ DNIC-AS-00096, US ]
AS97 [ NTTA-97, US ]
AS98 [ ROCKEFELLER-AS, US ]
AS99 [ INTEL-IWARP, US ]
AS100 [ FMC-CTC, US ]
AS101 [ WASH-NSF-AS, US ]
AS102 [ NSF-HQ-AS, US ]
AS103 [ NWU-AS, US ]
AS104 [ COLORADO-AS, US ]
AS105 [ MOT-MCD-AS, US ]
AS106 [ GDAIS-ASN-106, US ]
AS107 [ ECSNET-AS, US ]
AS108 [ XEROX-AS, US ]
AS109 [ CISCOSYSTEMS, US ]
AS110 [ XAIT-AS, US ]
AS111 [ BOSTONU-AS, US ]
AS112 [ -Reserved AS-, ZZ ]
AS113 [ SCCNET-AS, US ]
AS114 [ NTTA-114, US ]
AS115 [ DNIC-AS-00115, US ]
AS116 [ TELCORDIA, US ]
AS117 [ ALBM-NET-AS, US ]
AS118 [ DNIC-AS-00118, US ]
AS119 [ AMS-AS, US ]
AS120 [ MITRE-OMAHA, US ]
AS121 [ DNIC-AS-00121, US ]
AS122 [ UPMC-AS122, US ]
AS123 [ LOGAIRCOMNET-AS, US ]
AS124 [ DNIC-AS-00124, US ]
AS125 [ HI-NET-AS, US ]
AS126 [ DNIC-AS-00126, US ]
AS127 [ JPL-AS127, US ]
AS128 [ ADS-AS, US ]
AS129 [ DNIC-AS-00129, US ]
AS130 [ CSOCNET-AS, US ]
AS131 [ UCSB-NET-AS, US ]
AS132 [ WPAFB-CSD-NET-AS, US ]
AS133 [ AFIT-AS, US ]
AS134 [ CORONA-GW-AS, US ]
AS135 [ DNIC-AS-00135, US ]
AS136 [ AF-ASN-136, US ]
AS137 [ ASGARR Consortium GARR, EU ]
AS138 [ DNIC-AS-00138, US ]
AS139 [ DNIC-AS-00139, US ]
AS140 [ DNIC-AS-00140, US ]
AS141 [ DNIC-AS-00141, US ]
AS142 [ DNIC-AS-00142, US ]
AS143 [ OOG1-AS, US ]
AS144 [ ATT-INTERNET, US ]
AS145 [ VBNS, US ]
AS146 [ HQEIS-AS, US ]
AS147 [ DNIC-AS-00147, US ]
AS148 [ DNIC-AS-00148, US ]
AS149 [ DNIC-AS-00149, US ]
AS150 [ DNIC-AS-00150, US ]
AS151 [ IND-NTC-AS, US ]
AS152 [ SRI-ACCATT-AS, US ]
AS153 [ CTNOSC-ASN-153, US ]
AS154 [ DNIC-AS-00154, US ]
AS155 [ DNIC-AS-00155, US ]
AS156 [ NORTHEASTERN-GW-AS, US ]
AS157 [ INTELLIAUTON, US ]
AS158 [ ERI-AS, US ]
AS159 [ OSUNET-AS, US ]
AS160 [ U-CHICAGO-AS, US ]
AS161 [ TI-AS, US ]
AS162 [ DNIC-AS-00162, US ]
AS163 [ IBM-RESEARCH-AS, US ]
AS164 [ DNIC-AS-00164, US ]
AS165 [ DNIC-AS-00165, US ]
AS166 [ IDA-AS, US ]
AS167 [ WESLEYAN-AS, US ]
AS168 [ UMASS-AMHERST, US ]
AS169 [ HANSCOM-NET-AS, US ]
AS170 [ DNIC-AS-00170, US ]
AS171 [ SOX-RES, US ]
AS172 [ DNIC-AS-00172, US ]
AS173 [ ERX-ECLNET Electrical Communications Laboratories, JP ]
AS174 [ COGENT-174, US ]
AS175 [ PL-AS, US ]
AS176 [ BCN-AS, US ]
AS177 [ UMICH-AS-1, US ]
AS178 [ UMICH-AS-2, US ]
AS179 [ UMICH-AS-3, US ]
AS180 [ UMICH-AS-4, US ]
AS181 [ MERIT-AS-1, US ]
AS182 [ MERIT-AS-2, US ]
AS183 [ MERIT-AS-3, US ]
AS184 [ MERIT-AS-4, US ]
AS185 [ MERIT-AS-5, US ]
AS186 [ CUA-AS, US ]
AS187 [ DNSCAST-AS, US ]
AS188 [ SAIC-AS, US ]
AS189 [ LVLT-189, US ]
AS190 [ DNIC-AS-00190, US ]
AS191 [ DNIC-AS-00191, US ]
AS192 [ ROCHINSTTECH, US ]
AS193 [ FORD-ASN, US ]
AS194 [ NCAR-AS, US ]
AS195 [ SDSC-AS, US ]
AS196 [ BOEING196, US ]
AS197 [ RAYTHEON-AS-2, US ]
AS198 [ DNIC-AS-00198, US ]
AS199 [ CENTURYLINK-LEGACY-LVLT-199, US ]
AS200 [ CENTURYLINK-LEGACY-LVLT-200, US ]
AS201 [ CENTURYLINK-LEGACY-LVLT-201, US ]
AS202 [ CENTURYLINK-LEGACY-LVLT-202, US ]
AS203 [ CENTURYLINK-LEGACY-LVLT-203, US ]
AS204 [ PSCNET-AS, US ]
AS205 [ MONTCLAIR-AS, US ]
AS206 [ CSC-IGN-AMER, US ]
AS207 [ CLI-GW-AS, US ]
AS208 [ DNIC-AS-00208, US ]
AS209 [ CENTURYLINK-US-LEGACY-QWEST, US ]
AS210 [ WEST-NET-WEST, US ]
AS211 [ RADC-LONS-GW-AS, US ]
AS212 [ HQAFSC-LONS-GW-AS, US ]
AS213 [ DNIC-AS-00213, US ]
AS214 [ DNIC-AS-00214, US ]
AS215 [ DNIC-AS-00215, US ]
AS216 [ LMSC-HOSTNET-AS, US ]
AS217 [ UMN-SYSTEM, US ]
AS218 [ AFOTECPCNET-AS, US ]
AS219 [ DNIC-AS-00219, US ]
AS220 [ OOALC-HOSTNET-AS, US ]
AS221 [ WRALC-HOSTNET-AS, US ]
AS222 [ SMALC-HOSTNET-AS, US ]
AS223 [ AS223, US ]
AS224 [ UNINETT UNINETT, The Norwegian University &amp; Research Network, NO ]
AS225 [ VIRGINIA-AS, US ]
AS226 [ LOS-NETTOS-AS, US ]
AS227 [ DNIC-AS-00227, US ]
AS228 [ DNIC-AS-00228, US ]
AS229 [ MERIT-AS-6, US ]
AS230 [ MERIT-AS-7, US ]
AS231 [ MERIT-AS-8, US ]
AS232 [ MERIT-AS-9, US ]
AS233 [ MERIT-AS-10, US ]
AS234 [ BLACKROSE-1, US ]
AS235 [ MERIT-AS-12, US ]
AS236 [ MERIT-AS-13, US ]
AS237 [ MERIT-AS-14, US ]
AS238 [ MERIT-AS-15, US ]
AS239 [ UTORONTO-AS, CA ]
AS240 [ SAALC-HOSTNET-AS, US ]
AS241 [ OCALC-HOSTNET-AS, US ]
AS242 [ SSSD-AS, US ]
AS243 [ HARRIS-ATD-AS, US ]
AS244 [ DNIC-AS-00244, US ]
AS245 [ PRC-AS, US ]
AS246 [ ASIFICS-GW-AS, US ]
AS247 [ ROMENET-AS, US ]
AS248 [ IDDQD-AS IDDQD-AS, EU ]
AS249 [ PETERCOM-AS AS249, EU ]
AS250 [ SACREDCHAO-AS AS250.net Foundation, EU ]
AS251 [ DENISKLIMEK-AS Denis Klimek, EU ]
AS252 [ DNIC-AS-00252, US ]
AS253 [ NTTA-253, US ]
AS254 [ TWG-NET-AS, US ]
AS255 [ PAFB-GW, US ]
AS256 [ DNIC-AS-00256, US ]
AS257 [ DNIC-AS-00257, US ]
AS258 [ BRAGGSRI-EGP-AS, US ]
AS259 [ SCUBED-AS, US ]
AS260 [ XCONNECT24, US ]
AS261 [ FR-CINES-MONTPELLIER FR, EU ]
AS262 [ VERIO, US ]
AS263 [ NTTA-263, US ]
AS264 [ SRINET-AS, US ]
AS265 [ DSI-WR-16, US ]
AS266 [ DHC-USA-INC, US ]
AS267 [ NETHER-NET, US ]
AS268 [ USUHSNET-AS, US ]
AS269 [ INCSYS-AS, US ]
AS270 [ AS270, US ]
AS271 [ BCNET-AS, CA ]
AS272 [ CTNOSC-ASN-272, US ]
AS273 [ DNIC-AS-00273, US ]
AS274 [ AINET-AS274, US ]
AS275 [ NTTA-275, US ]
AS276 [ OTS-AS-276, US ]
AS277 [ CSC-300-AS277, US ]
AS278 [ Universidad Nacional Autonoma de Mexico, MX ]
AS279 [ LVLT-279, US ]
AS280 [ NTTA-280, US ]
AS281 [ LVLT-281, US ]
AS282 [ MERIT-AUX-AS, US ]
AS283 [ MPOWERLABS, US ]
AS284 [ UUNET-IPV6, US ]
AS285 [ DNIC-AS-00285, US ]
AS286 [ KPN, NL ]
AS287 [ DNIC-AS-00287, US ]
AS288 [ ESA Robert Bosch Strasse 5, EU ]
AS289 [ DNIC-AS-00289, US ]
AS290 [ SHOWNET-AS, US ]
AS291 [ ESNET-EAST, US ]
AS292 [ ESNET-WEST, US ]
AS293 [ ESNET, US ]
AS294 [ FRANCE-IP-NET-AS Institut National de Recherche en Informatique et Automatique, EU ]
AS295 [ USTCCLOUD, US ]
AS296 [ ACFP-AS, US ]
AS297 [ AS297, US ]
AS298 [ RADC-LONEX-AS, US ]
AS299 [ UCINET-AS, US ]
AS300 [ DNIC-AS-00300, US ]
AS301 [ C3PO-AS, US ]
AS302 [ BCM-INFO-NET-AS, US ]
AS303 [ DNIC-AS-00303, US ]
AS304 [ SRIEXPRIGNET-AS, US ]
AS305 [ DNIC-AS-00305, US ]
AS306 [ DNIC-ASBLK-00306-00371, US ]
AS307 [ DNIC-ASBLK-00306-00371, US ]
AS308 [ DNIC-ASBLK-00306-00371, US ]
AS309 [ DNIC-ASBLK-00306-00371, US ]
AS310 [ DNIC-ASBLK-00306-00371, US ]
AS311 [ DNIC-ASBLK-00306-00371, US ]
AS312 [ DNIC-ASBLK-00306-00371, US ]
AS313 [ DNIC-ASBLK-00306-00371, US ]
AS314 [ DNIC-ASBLK-00306-00371, US ]
AS315 [ DNIC-ASBLK-00306-00371, US ]
AS316 [ DNIC-ASBLK-00306-00371, US ]
AS317 [ DNIC-ASBLK-00306-00371, US ]
AS318 [ DNIC-ASBLK-00306-00371, US ]
AS319 [ DNIC-ASBLK-00306-00371, US ]
AS320 [ DNIC-ASBLK-00306-00371, US ]
AS321 [ DNIC-ASBLK-00306-00371, US ]
AS322 [ DNIC-ASBLK-00306-00371, US ]
AS323 [ DNIC-ASBLK-00306-00371, US ]
AS324 [ DNIC-ASBLK-00306-00371, US ]
AS325 [ DNIC-ASBLK-00306-00371, US ]
AS326 [ DNIC-ASBLK-00306-00371, US ]
AS327 [ DNIC-ASBLK-00306-00371, US ]
AS328 [ DNIC-ASBLK-00306-00371, US ]
AS329 [ DNIC-ASBLK-00306-00371, US ]
AS330 [ DNIC-ASBLK-00306-00371, US ]
AS331 [ DNIC-ASBLK-00306-00371, US ]
AS332 [ DNIC-ASBLK-00306-00371, US ]
AS333 [ DNIC-ASBLK-00306-00371, US ]
AS334 [ DNIC-ASBLK-00306-00371, US ]
AS335 [ DNIC-ASBLK-00306-00371, US ]
